06/06_22:54:34 		 313.093 		 233.982 		 187.771
06/06_23:25:01 		 		 		
06/06_23:56:31 		 		 		
06/07_00:12:29 		 314.663 		 231.626 		 176.387
06/07_00:44:29 		 70.5525 		 241.402 		 187.799
06/07_01:16:15 		 325.819 		 243.236 		 189.994
06/07_01:48:01 		 327.033 		 244.175 		 191.714
06/07_02:19:34 		 327.754 		 244.903 		 192.186
06/07_02:51:20 		 327.452 		 245.05 		 192.829
06/07_03:22:53 		 327.903 		 245.408 		 193.221
06/07_03:54:27 		 328.486 		 246.089 		 193.404
06/07_04:25:48 		 328.99 		 246.138 		 193.852
06/07_04:56:55 		 328.5 		 245.785 		 193.881
06/07_05:28:16 		 330.123 		 246.798 		 194.071
06/07_05:59:24 		 328.33 		 245.737 		 194.079
06/07_06:30:32 		 330.215 		 246.781 		 194.503
06/07_07:02:45 		 329.005 		 246.605 		 195.481
06/07_07:33:53 		 328.912 		 246.102 		 194.971
06/07_08:05:39 		 329.245 		 246.458 		 195.647
06/07_08:36:47 		 328.465 		 246.769 		 194.881
06/07_09:08:34 		 330.259 		 246.059 		 195.585
06/07_09:41:22 		 329.328 		 246.149 		 195.549
06/07_10:12:30 		 328.987 		 246.303 		 195.203
06/07_10:45:17 		 329.325 		 246.918 		 195.281
06/07_11:16:25 		 328.537 		 246.388 		 195.297
06/07_11:47:58 		 330.819 		 246.842 		 195.083
06/07_12:19:06 		 329.916 		 246.914 		 194.923
06/07_12:51:03 		 329.245 		 246.639 		 196.328
06/07_13:23:00 		 329.402 		 246.404 		 195.481
06/07_13:55:12 		 328.84 		 246.733 		 195.577
06/07_14:27:10 		 329.268 		 246.735 		 195.258
06/07_14:58:18 		 328.428 		 245.684 		 194.975
06/07_15:29:26 		 330.131 		 247.828 		 196.032
06/07_16:01:23 		 329.436 		 247.061 		 195.143
06/07_16:32:30 		 328.816 		 246.621 		 195.253
06/07_17:04:28 		 329.318 		 246.367 		 195.636
06/07_17:35:35 		 328.613 		 246.61 		 195.202
06/07_18:06:56 		 331.623 		 246.446 		 195.224
06/07_18:38:04 		 330.275 		 246.791 		 195.325
06/07_19:10:39 		 329.334 		 246.702 		 195.62
06/07_19:42:50 		 329.044 		 246.527 		 195.571
06/07_20:14:11 		 329.631 		 246.094 		 195.253
06/07_20:46:32 		 329.289 		 246.822 		 195.247
06/07_21:18:06 		 328.947 		 246.645 		 195.427
06/07_21:50:55 		 329.181 		 246.619 		 195.61
06/07_22:22:28 		 329.258 		 247.502 		 195.252
06/07_22:53:35 		 329.834 		 246.525 		 195.371
06/07_23:25:47 		 328.703 		 245.905 		 195.596
